Numéro d'opération,Année ,Pays,Type de catastrophe,intitulé,Alerte et actions anticipées,Evaluations,Shelter,WatSan,Santé,Soutien Psy ,Télécoms,PPN,CASH,Autres ,Envoi RH ,bâches,kits abris,Tentes,kits cuisine,kits hygiène,kits nettoyage,couvertures,moustiquaires,tapis de sol,lits picots,jerrycans,seaux,lampes solaire,UTE,Kit 2 / Wash,EPI,DLM,Borne CO2,Tonnes (t),Volume (m3),détail ,Nombre bénéficiaires (en personnes),Bailleurs (et partenaires),,Budget total,Commentaires 
21,févr.-09,Zimbabwe,Epidémie ,Choléra,,1,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"Détachement de 2 RH pour une évaluation post-urgence
réhab; station traitement d'eau",500000,DG ECHO/ UE,,,
22,avr.-09,Madagascar,Cyclone,Jade ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mission d'appui en eau et assainissement : réhabilitation de puits et campagnes de sensibilisations à l'hygiène,19699,CRF,30000,30 000 €,
23,juin-09,Comores,Crash aérien ,Yemenia,,,,,,1,,,,cooordo secours ,,,,,,,,,,,,,,,,,,,,,,Opération d'urgence suite au krash aérien de la compagnie Yemenia: logistique et soutien psychologique,_,FICR,5000,5000,
24,janv.-10,Haïti,Séisme,,,,,1,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,Détachement de 3 RH intégrées aux opérations dirigées par la FICR,,/,,,
25,janv.-10,Tanzanie,Inondations ,Kilosa,,,,1,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,Opération d'urgence: coordination des opérations sur place (HoD CRF) et mobilisation de ressources,10000,"Ambassade de France en Tanzanie
CRF",60000,60000,
26,févr.-10,Madagascar,Epidémie ,Chikungunya,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,"Envoi de 30 kits EPI
Campagnes de sensibilisation
1 RH : santé ",44000,"FICR (DREF), (mise à disposition de RH DRASS)",23889,23 889 €,
27,mars-10,Madagascar,Cyclone ,Hubert,,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,10,,"Opération d'urgence: envoi de matériel, évaluations, distributions, watsan
RH: 1 DM coordinaiton terrain et + RDRT",28300,FICR (DREF) et (appui des FAZSOI pour le transport),55447,55 447 €,
28,avr.-10,Réunion,Volcan ,Eyjafjöll,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,"Logistique, distribution et soutien psychologique pour les passagers bloqués à l’aéroport de la Réunion
Coordination des opérations en lien avec la DT Réunion",,_,_,_,
29,janv.-11,Mozambique,Inondations,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,38,,Opération d'urgence :envoi de matériel par bateau (abris et articles de première nécessité),20000,FICR (DREF),87055,87055,
30,août-11,Madagascar,Cyclone ,Bingiza,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evaluation puis projet de réhabilitation de points d'eau suite au passage du cyclone,5000,CR974,50000,50 000 €,
