Numéro d'opération,Année ,Pays,Type de catastrophe,intitulé,Alerte et actions anticipées,Evaluations,Shelter,WatSan,Santé,Soutien Psy ,Télécoms,PPN,CASH,Autres ,Envoi RH ,bâches,kits abris,Tentes,kits cuisine,kits hygiène,kits nettoyage,couvertures,moustiquaires,tapis de sol,lits picots,jerrycans,seaux,lampes solaire,UTE,Kit 2 / Wash,EPI,DLM,Borne CO2,Tonnes (t),Volume (m3),détail ,Nombre bénéficiaires (en personnes),Bailleurs (et partenaires),,Budget total,Commentaires 
71,février 2024,Comores,Inondation,Inondation Comores,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,Réalisation d’une évaluation approfondie des besoins,0,PF347 (Crismo),2500,2500,"Lancement des activités de réponse +/- en même temps que le démarrage de l'épidémie de choléra. =>Difficulté de mise en oeuvre. 
Décision commune de basculer cette opération Inondations pour des besoins de réponse Choléra. Opé arrêtée le 16/04/2024.

Voir RF Rapport narratif final_Crismo Inondation 2024.docx"
71,février 2024,Comores,Epidémie ,Choléra ,,1,,1,1,,,,,,2,,,,,,,,,,,,,,2,,,,,"6,758","25,28","- Déploiement 2 UTE
- Mission Julien G + 2 bénévoles Aquassistance
- Mission Gabriel (Mayotte/Anjouan) 
- réparation incinérateur CTC Ngazidja Samba
- articles complémentaires & consommables pour les UTE (notamment 2ème UTE)
- entretien des motopompes

Chiffres finaux : 300 000 L distribués > minimum humanitaire d'urgence = 15L / pers/ jours = 20 000 pers en besoin journalier",20000,PF347 (Crismo),24882,24 882 €,
72,mars 2024,Madagascar,Cyclone,Guamane,,,,1,,,,,,,0,,,,,,,,,,,1200,600,,,,,,,"5,57","24,06",,600,PPP,,,Réappro à faire depuis la PIROI sur les fonds PPP de la DLG
73,décembre 2024,Madagascar,Cyclone,CHIDO,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,"262 volontaires de la CRM ont été mobilisés pour réaliser des actions de sensibilisation (Alerte et évacuation précoce) dans les régions de DIANA, SAVA et SOFIA.
Au total, 13 487 personnes (6718 femmes et 6769 hommes) ont été touchées par les actions de sensibilisation, ce qui représente 3254 ménages.",13487,PF347 (Crismo),,5 510 €,
74,décembre 2024,Mayotte,Cyclone,CHIDO,1,1,1,1,1,,1,,,1,4,10100,4000,,,1000,,500,3700,,403,2000,8010,1000,2,,,,,136,366,"Appui à la production et la potabilisation de  739 789 L d'eau. En partant des standards humanitaires d'un minima de 15L d'eau par jour et par personne, cela représente l'appui à 49 319 bénéficiaires dans leur besoin journalier en eau. 
L'opération a aussi permis la distribution de NFI a bénéficié à  9306 ménages, soit 46 530 personnes ",95849,"EA National, Région réunion, TCO, Saint-Joseph et Saint XXXX , (FAZSOI)
",,575 000 €,
75,décembre 2024,Comores,Cyclone,CHIDO,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,"Dans le cadre de la réponse d'urgence CHIDO, le CRCO a mobilisé 96 volontaires et 14 membres du staff de la SN pour réaliser des actions de sensibilisation et des évaluations rapides et initiales. AU total, 28 429 personnes ont été sensibilisées au niveau des 3 îles.",28429,PF347 (Crismo),,8 501 €,
76,décembre 2024,Mozambique,Cyclone,CHIDO,,,,,,,,,,,0,2000,1000,,,,,,3000,,,2000,1000,,,,,,,17,79,Appui dans l'envoi de matériel dans le cadre de l'EA IFRC,0,EA IFRC,,,
77,février 2025,Réunion,Cyclone,Garance,1,,,,,,,,,1,0,1920,124,,,,,,,,400,,,,,,,,,11,23,"Ouverture de centre d'hebergement d'urgence : 
4 CHU ouverts et 32 bénévoles mobilisés 

Opération coup de main, coup de coeur :
15 missions réalisées, 28 logements traités

265 bénéficiaires (255 CHU et 10 CV) et 125 bénéficiaires pour opérations CMCC (25 foyers, estimation de 5 personnes par foyer)",390,/,,,
78,mars 2025,Mozambique,Cyclone,JUDE,,,1,1,,,,,,,0,3000,1500,,,,,,3500,,,,2500,,,,,,,33,113, Appui dans l'envoi de matériel dans le cadre d'une opération phare-U leadé par le siège CRF,0,CDCS - PHARE U,,,
79,février 2025,Réunion,Epidémie,Chikungunya,,,,1,1,,,,,1,1,,,,,,,,1300,,,,,,,,11247,,7,0,0,Formation du personnel CRf. Distribution de 11247 répulsifs et 1300 mosutiquaires1950 personnes sensibilisés. 6 sites Croix-Rouge accueillant des personnes vulnérables protégés par des bornes CO2,13197,Fond l'Oréal pour l'environnement PF366,,"100 000,00 €",
80,avril 2025,Mayotte,Epidémie,Chikungunya,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,"Approvisionnement de 5000 répulsifs, appui technique à l'élaboration du plan de réponse. Re-lance du projet SBC Chido",,Fond Chido DNOM,,,
81,janvier 2026,Madagascar,Epidémie,MPOX,,,,1,1,,,,,,1,,,2,,,,,,,75,800,400,,,,24620,40,,"6,86",31,"Renforcement des capacités de formation / sensibilisation des volontaires, Distribution communautaire, renforcement capacités structures de santé via dotation matériel et EPI et protection des volontaires CRM",27 000,CDCS,,"100 000,00 €",
82,février 2026,Mozambique,Inondations ,Inondations ,,,,,,,,,,,,4000,2000,,,,,,6000,,,4000,2000,2000,,,,,,"5,84",135,Appui dans l'envoi de matériel dans le cadre de l'EA IFRC ,2000,DOI et fond L'Oréal ,,"240 000,00 €",
83,février 2026,Madagascar,Cyclone,Fytia,,,1,1,,,,,,,,300,150,,150,890,,850,,,210,1380,540,,,,,,,"11,98",51,"Prestation de service PIROI Center, opération FAZOI / gouvernement Malgache ",2700,FAZOI,,,
84,février 2026,Madagascar,Cyclone,Gezani,1,,1,1,,,,,,1,2,4500,2250,,,,,,2250,,,,,,,,,,,"39,79",143,"Appui dans l'envoi de matériel dans le cadre de l'EA IFRC, déploiement RH pour RELIEF et Communication, distribution SHELTER pour 1500 familles dans la région de Tamatave ",7 500,"Région Réunion et Département Réunion, fond DOI ",,"200 000,00 €",
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,
